ticker,name,sector_code,market_segment,security_type,is_active,aliases
NMG,Nation Media Group Plc,COMMERCIAL,,equity,true,Nation Media Group|Nation Media
NSE,Nairobi Securities Exchange Plc,INVESTMENT_SERVICES,,equity,true,NSE Plc|Nairobi Securities Exchange Plc|NSE shares
OCH,Olympia Capital Holdings Limited,INVESTMENT,,equity,true,Olympia Capital
ORCH,Kenya Orchards Limited,MANUFACTURING,,equity,true,Kenya Orchards
PORT,East African Portland Cement Plc,CONSTRUCTION,,equity,true,East African Portland|EAPCC|Portland Cement
SASN,Sasini Plc,AGRICULTURAL,,equity,true,Sasini
SBIC,Stanbic Holdings Plc,BANKING,,equity,true,Stanbic Holdings|Stanbic Bank Kenya|Stanbic
SCAN,WPP Scangroup Plc,COMMERCIAL,,equity,true,WPP Scangroup|Scangroup
SCBK,Standard Chartered Bank Kenya Limited,BANKING,,equity,true,Standard Chartered|StanChart
SCOM,Safaricom Plc,TELECOM,,equity,true,Safaricom|M-Pesa|M-PESA|Mpesa
SGL,Standard Group Plc,COMMERCIAL,,equity,true,Standard Group|Standard Media Group
SLAM,Sanlam Kenya Plc,INSURANCE,,equity,true,Sanlam Kenya|Sanlam
SMER,Sameer Africa Plc,COMMERCIAL,,equity,true,Sameer Africa
TCL,TransCentury Plc,INVESTMENT,,equity,true,TransCentury|Trans Century
TOTL,TotalEnergies Marketing Kenya Plc,ENERGY,,equity,true,TotalEnergies Marketing Kenya|TotalEnergies Kenya|Total Kenya
TPSE,TPS Eastern Africa (Serena) Plc,COMMERCIAL,,equity,true,TPS Eastern Africa|Serena Hotels|TPS Serena
UCHM,Uchumi Supermarkets Plc,COMMERCIAL,,equity,true,Uchumi Supermarkets|Uchumi
UMME,Umeme Limited,ENERGY,,equity,true,Umeme
UNGA,Unga Group Plc,MANUFACTURING,,equity,true,Unga Group|Unga
WTK,Williamson Tea Kenya Plc,AGRICULTURAL,,equity,true,Williamson Tea
XPRS,Express Kenya Plc,COMMERCIAL,,equity,true,Express Kenya
